Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /owners List,11335,8316,2,99.34187764703721,1.0027500011347001,10021.412611000414,16493.658932509927,38.3620704783883,28.144594450664055,2,2,16,22,44,60,100,340,10000,10000,10000
GET,GET /owners/[id],8504,6230,2,99.75772431302258,1.0770289991341997,10015.376757999547,143.21037158984007,28.7808599336757,21.084755101928458,2,2,3,4,5,7,29,3000,10000,10000,10000
GET,GET /vets List,5561,3972,2,4.337760814063093,1.0349929998483276,321.278783998423,285.8113648624348,18.820597611849784,13.44280052405455,2,2,4,5,7,9,15,36,260,320,320
POST,POST /owners,2935,2110,2,100.08822980645054,1.121457999033737,10044.33009099921,75.56354344122657,9.93318719488925,7.141064729545594,2,2,4,5,6,8,27,310,10000,10000,10000
,Aggregated,28335,20628,2,80.8985746622925,1.0027500011347001,10044.33009099921,6704.9465678489505,95.89671521880304,69.81321480619266,2,2,4,5,20,43,72,210,10000,10000,10000
