Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /owners List,11378,7584,2,106.77115374274278,1.027389998853323,10174.98676499963,22337.640446475656,38.50828033043495,25.667674285992145,2,11,23,34,54,72,110,510,10000,10000,10000
GET,GET /owners/[id],8458,5687,2,89.6874762069135,1.0704590004024794,10167.674071000874,141.41357294868763,28.625684218212232,19.247371263770745,2,3,4,4,5,7,19,370,10000,10000,10000
GET,GET /vets List,5732,3876,2,4.15836941854,1.0617150001053233,325.0118649993965,305.42637822749475,19.39967154632212,13.118131003758645,2,3,4,5,7,9,16,26,220,330,330
POST,POST /owners,2896,1956,2,110.99404080869144,1.132227000198327,10122.574434000853,78.89813535911603,9.80136929486198,6.619985614899873,2,3,4,5,6,10,30,10000,10000,10000,10000
,Aggregated,28464,19103,2,81.46055989080968,1.027389998853323,10174.98676499963,9040.645798201236,96.33500538983128,64.6531621684214,2,3,5,6,27,52,82,220,10000,10000,10000
