Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /owners List,11421,8412,2,101.41530125540491,1.0189500007982133,10024.9889480001,14068.8500131337,38.65252558796779,28.46905220611024,2,2,15,21,37,50,110,470,10000,10000,10000
GET,GET /owners/[id],8533,6330,2,100.76139881048941,1.0536569989199052,10013.574491998952,143.0626977616313,28.87855711777683,21.422860254954568,2,2,3,4,5,7,26,3100,10000,10000,10000
GET,GET /vets List,5586,4107,2,3.8821510207678513,1.0769829987111734,238.54702899916447,275.0170068027211,18.904912698921994,13.899476629873366,2,2,4,5,6,9,17,29,180,240,240
POST,POST /owners,2874,2190,2,91.47981252853073,1.1366709986759815,10006.615423999392,72.25400139178845,9.726587736609703,7.41170046735395,2,2,3,4,6,9,31,340,10000,10000,10000
,Aggregated,28414,21039,2,81.03962302023298,1.0189500007982133,10024.9889480001,5759.30854508341,96.16258314127631,71.20308955829212,2,2,4,5,19,36,63,270,10000,10000,10000
