Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /owners List,11407,8161,2,110.30490024564695,1.024053999572061,10049.473455001134,16698.50398877882,38.600227850331635,27.616065528759222,2,2,17,23,43,61,110,3000,10000,10000,10000
GET,GET /owners/[id],8553,6133,2,84.69909483829443,1.054285999998683,10094.29872599867,142.08885771074478,28.942557096860387,20.753502008072577,2,2,3,4,5,7,21,480,10000,10000,10000
GET,GET /vets List,5653,4007,2,4.1507501073861075,1.0509459989407333,350.41973599982157,288.6163099239342,19.129226618560946,13.559315595360642,2,2,4,5,7,8,15,26,330,350,350
POST,POST /owners,2873,2071,2,105.58116957956456,1.0935179998341482,10015.863059999901,75.4100243647755,9.721964987639412,7.008071524330394,2,2,4,4,6,8,21,10000,10000,10000,10000
,Aggregated,28486,20372,2,81.07415031289727,1.024053999572061,10094.29872599867,6794.33132064874,96.39397655339238,68.93695465652284,2,2,4,5,20,42,74,350,10000,10000,10000
