Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /owners List,11289,6640,2,108.04667606590407,1.0310469988326076,10008.961104998889,33104.581805297195,38.206126856282516,22.47220146387775,2,21,36,46,71,100,160,300,10000,10000,10000
GET,GET /owners/[id],8504,5041,2,105.61700735465855,1.0728569995990256,10008.614259999376,141.08631232361242,28.780662838677163,17.060597527019237,2,3,4,4,5,9,29,3100,10000,10000,10000
GET,GET /vets List,5639,3269,2,4.544912795360599,1.0638840012688888,423.5254760005773,355.0276644795176,19.08444940584437,11.063497979731379,2,4,5,5,7,9,15,24,320,420,420
POST,POST /owners,2836,1686,2,87.2360209523915,1.1857539993798127,10003.655125001387,85.17736248236953,9.598066769812846,5.7060439259183555,2,4,4,5,6,9,21,120,10000,10000,10000
,Aggregated,28268,16636,2,84.58101299441131,1.0310469988326076,10008.961104998889,13342.330055186076,95.6693058706169,56.30234089654672,2,4,6,9,40,67,120,210,10000,10000,10000
