Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /owners List,5768,0,43,43.55080306103003,8.657403999677626,153.77774500029773,102065.9278779473,9.683601730583225,0.0,43,55,62,65,72,78,86,94,120,150,150
GET,GET /owners/[id],4522,0,3,3.304865185093285,2.0244569996066275,57.43998100024328,128.92260061919504,7.591755725675684,0.0,3,3,4,4,4,5,6,7,17,57,57
GET,GET /vets List,3018,0,4,4.715629509609008,2.961834999950952,91.41003900003852,653.0,5.066766647520835,0.0,4,4,5,5,7,8,11,14,25,91,91
POST,POST /owners,1458,0,4,3.91008660973707,2.4463770005240804,48.45932399985031,131.05692729766804,2.447762018583624,0.0,4,4,4,4,5,6,8,9,30,48,48
,Aggregated,14766,0,5,19.37412356494719,2.0244569996066275,153.77774500029773,40055.607138019775,24.78988612236337,0.0,5,16,33,42,61,70,78,84,110,140,150
