Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /owners List,5932,0,40,43.05241911867639,7.810113000232377,1463.739550000355,96460.88840188806,9.958344662606581,0.0,40,51,57,61,70,77,88,95,640,1500,1500
GET,GET /owners/[id],4461,0,3,5.302468448781876,2.1647820003636298,988.2593760003147,128.7971306881865,7.488903496272413,0.0,3,3,4,4,4,5,7,9,650,990,990
GET,GET /vets List,2943,0,4,4.738190780832564,2.9175440004109987,102.4466750004649,653.0,4.940561082611458,0.0,4,4,5,5,7,8,12,14,45,100,100
POST,POST /owners,1432,0,4,5.9503702409141646,2.497327999662957,884.3595090002054,131.02793296089385,2.403969918552364,0.0,4,4,4,5,5,6,8,10,730,880,880
,Aggregated,14768,0,5,20.416216658652743,2.1647820003636298,1463.739550000355,38928.08538732395,24.791779160042815,0.0,5,18,32,41,58,68,78,88,560,1400,1500
