Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /owners List,5957,0,43,43.09397331810998,8.088285999747313,199.80027399969913,101909.35168709082,10.000805103937275,0.0,43,54,60,64,71,78,88,94,120,200,200
GET,GET /owners/[id],4453,0,3,3.313751387605582,1.9938619998356444,48.16627199988943,128.4864136537166,7.475841048822006,0.0,3,3,4,4,4,5,7,8,16,48,48
GET,GET /vets List,2856,0,4,4.833702001060304,3.0515670000568207,75.04369700018287,653.0,4.7947455727454855,0.0,4,5,5,6,7,8,12,15,54,75,75
POST,POST /owners,1436,0,4,4.000149899716513,2.435535000586242,73.9861449997079,131.058495821727,2.410803446240377,0.0,4,4,4,4,5,6,8,9,45,74,74
,Aggregated,14702,0,5,19.79432744905528,1.9938619998356444,199.80027399969913,41470.50238062849,24.682195171745143,0.0,5,18,34,43,60,69,78,85,110,160,200
