Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /owners List,6006,0,41,42.32288158991633,8.01746799970715,261.90405699981056,98028.004995005,10.084504920344468,0.0,41,53,59,63,71,78,87,93,120,260,260
GET,GET /owners/[id],4400,0,3,3.3843395302262085,2.086955999402562,61.47022400000424,127.69068181818182,7.387915692560051,0.0,3,3,4,4,4,5,7,8,21,61,61
GET,GET /vets List,2920,0,4,4.804100315750039,2.9106229994795285,77.94149599976663,653.0,4.9028895050625785,0.0,4,5,5,5,7,8,11,14,74,78,78
POST,POST /owners,1445,0,4,4.001511451218381,2.4480439997205394,55.33968500003539,131.0242214532872,2.4262586763066527,0.0,4,4,4,5,5,6,8,10,18,55,55
,Aggregated,14771,0,5,19.558085284072373,2.086955999402562,261.90405699981056,40038.86852616614,24.801568794273752,0.0,5,18,33,42,60,70,78,85,110,170,260
