Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /owners List,5915,0,43,42.95136124834545,8.355504000064684,147.3583110000618,99804.86779374472,9.931220759662741,0.0,43,54,60,64,72,78,87,92,120,150,150
GET,GET /owners/[id],4425,0,3,3.326166243615534,2.0867310004177853,54.10265899990918,127.88406779661017,7.429526941928594,0.0,3,3,4,4,4,5,7,8,13,54,54
GET,GET /vets List,2935,0,4,4.713826458603125,2.9167060001782374,80.57974900020781,653.0,4.9278331241944455,0.0,4,4,5,5,7,8,12,14,66,81,81
POST,POST /owners,1453,0,4,3.9054919304950317,2.4956019997262047,46.837034999953175,131.0467997247075,2.4395712195756487,0.0,4,4,4,4,5,6,7,9,24,47,47
,Aggregated,14728,0,5,19.573964410848138,2.0867310004177853,147.3583110000618,40264.7098044541,24.72815204536143,0.0,5,17,33,43,61,70,78,85,110,130,150
