Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /owners List,11750,6709,2,74.22193594391713,1.0587579999992158,10082.747970998753,34987.59923404255,19.719167487581895,11.259225078654207,2,20,32,40,55,66,86,170,10000,10000,10000
GET,GET /owners/[id],8612,4874,2,39.59065118913991,1.0872670009121066,10037.972102998538,139.44832791453786,14.452891098132365,8.179678496550993,2,3,3,3,4,5,8,14,10000,10000,10000
GET,GET /vets List,5877,3279,2,3.4963335821013377,1.115695000407868,162.22843499963346,366.2200102092905,9.862940197831387,5.502906399300514,2,4,4,4,6,7,10,15,85,160,160
POST,POST /owners,2840,1668,2,61.8311276535307,1.163134000307764,10006.96480499937,85.72464788732394,4.76616473742405,2.7992826697265194,2,3,4,4,5,6,9,22,10000,10000,10000
,Aggregated,29079,16530,2,48.46145982942823,1.0587579999992158,10082.747970998753,14261.183431342206,48.8011635209697,27.741092644232232,2,3,4,7,34,53,69,88,10000,10000,10000
