Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /owners List,11628,4915,18,76.96252364912051,1.1023099996236851,10015.23782499953,65560.02012383901,19.514545083221137,8.248537072930159,18,41,56,65,85,100,120,150,10000,10000,10000
GET,GET /owners/[id],8595,3616,3,54.6856823895269,1.1384039999029483,10026.829194000129,138.1236765561373,14.424450893557418,6.068506623746786,3,3,3,3,4,5,8,13,10000,10000,10000
GET,GET /vets List,5894,2476,3,3.787562063802682,1.0327729996788548,136.97700099965004,437.07465218866645,9.891531537711161,4.155315929313342,3,4,4,5,6,7,11,15,48,140,140
POST,POST /owners,2846,1177,3,67.45232099858693,1.2108249993616482,10007.156118000239,99.23506676036543,4.776263786278582,1.9752854801299689,3,4,4,4,5,6,10,20,10000,10000,10000
,Aggregated,28963,12184,3,54.52601116928429,1.0327729996788548,10026.829194000129,26460.574802334013,48.6067913007683,20.447645106120255,3,4,8,20,58,82,100,130,10000,10000,10000
