Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /owners List,11578,6893,2,63.290544721193186,1.0544729993853252,10010.327350999432,33010.34444636379,19.429928052803433,11.567670933492318,2,16,29,37,53,63,78,100,10000,10000,10000
GET,GET /owners/[id],8876,5296,2,49.56266214949906,1.123323998399428,10003.802359000474,141.22870662460568,14.895495024761034,8.8876229890868,2,3,3,3,4,5,7,14,10000,10000,10000
GET,GET /vets List,5782,3373,2,3.3365522846605904,1.1089149993495084,96.91820399893913,353.15185057073677,9.703216790577772,5.660489490594746,2,4,4,4,5,7,10,14,42,97,97
POST,POST /owners,2931,1751,2,67.40666434935696,1.194287999169319,10011.722884000847,84.95052882975094,4.918735457139995,2.9384871325322863,2,3,4,4,5,6,10,24,10000,10000,10000
,Aggregated,29167,17313,2,47.64140962522079,1.0544729993853252,10011.722884000847,13225.159529605377,48.94737532528223,29.05427054570615,2,3,4,5,30,50,65,80,10000,10000,10000
