Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /owners List,11655,7018,2,75.98490557417911,1.087937000193051,10021.228663999864,33657.19262119262,19.58953227469028,11.795738953562969,2,18,31,39,55,65,86,370,10000,10000,10000
GET,GET /owners/[id],8743,5285,2,43.5447981802551,1.1328370001137955,10018.79052500044,140.712913187693,14.695090577230127,8.882941061496194,2,3,3,3,4,5,8,14,10000,10000,10000
GET,GET /vets List,5654,3366,2,3.3886523799054444,1.090746998670511,139.01530600014667,347.0,9.503150191428473,5.657517429138352,2,4,4,4,6,7,10,14,47,140,140
POST,POST /owners,2929,1748,2,63.55057184158573,1.1679250001179753,10025.479848000032,85.00068282690339,4.923015017809338,2.938009645316054,2,3,4,4,5,6,11,88,10000,10000,10000
,Aggregated,28981,17417,2,50.77862428615335,1.087937000193051,10025.479848000032,13654.316207170215,48.71078806115822,29.274207089513567,2,3,4,6,33,53,68,92,10000,10000,10000
