Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /owners List,11623,6019,3,70.51792332099912,1.060679000147502,10009.610915998564,46649.28865181106,19.50642111463755,10.101449598985065,3,28,42,50,67,80,110,130,10000,10000,10000
GET,GET /owners/[id],8819,4567,2,47.74975303196889,1.0914929989667144,10003.7935750006,140.03775938315002,14.800578835927778,7.664615437541916,2,3,3,3,4,5,7,13,10000,10000,10000
GET,GET /vets List,5677,2873,3,3.5520544084913177,1.1234459998377133,122.10418899849174,392.87634313898184,9.527484527901349,4.821642249191576,3,4,4,5,6,7,9,14,57,120,120
POST,POST /owners,2884,1490,3,61.43946018547489,1.165379000667599,10006.810556998971,91.22815533980582,4.840103114050994,2.500608058230229,3,3,4,4,5,6,10,14,10000,10000,10000
,Aggregated,29003,14949,2,49.584226142151586,1.060679000147502,10009.610915998564,18823.333310347207,48.67458759251767,25.088315343948786,2,4,5,11,43,64,83,110,10000,10000,10000
